full_image,image_snippet,person_id,iou,caption
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,,0.0,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,,0.0,A man in a black coat is walking down the street with a pair of black shoes on his head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,Persoon 1,0.0017051947375506,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,Persoon 1,0.4396132316603297,A woman in a black coat is walking down the street with her hands in her pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,,0.0,A man in a black coat is walking down the street with his hand on his pocket 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,Persoon 1,0.1199802410653915,A man in a black coat is walking down the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,,0.0,A person in a black coat is walking in the street with a pair of black gloves on his shoulder 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,,0.0,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,,0.0,A man in a black coat is walking down the street with a pair of black shoes on his head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,,0.0,A woman in a black coat is walking down the street with her hands in her pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,Persoon 2,0.0007384303774136,A man in a black coat is walking down the street with his hand on his pocket 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,,0.0,A man in a black coat is walking down the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,Persoon 2,0.052111331081493,A person in a black coat is walking in the street with a pair of black gloves on his shoulder 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,,0.0,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,Persoon 3,0.2076505525423004,A man in a black coat is walking down the street with a pair of black shoes on his head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,,0.0,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,Persoon 3,0.2509549763255016,A woman in a black coat is walking down the street with her hands in her pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,Persoon 3,0.0398667814651722,A man in a black coat is walking down the street with his hand on his pocket 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,,0.0,A person in a black coat is walking in the street with a pair of black gloves on his shoulder 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,Persoon 3,0.1668003144350649,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,,0.0,A man in a black coat is walking down the street with a pair of black shoes on his head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,,0.0,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,Persoon 5,0.0109077170238803,A woman in a black coat is walking down the street with her hands in her pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,,0.0,A man in a black coat is walking down the street with his hand on his pocket 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,,0.0,A man in a black coat is walking down the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,Persoon 5,0.0172336491754331,A person in a black coat is walking in the street with a pair of black gloves on his shoulder 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,,0.0,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,Persoon 5,0.0013401829514121,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,,0.0,A woman in a black coat is walking down the street with her hands in her pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,Persoon 6,0.074303023684679,A man in a black coat is walking down the street with his hand on his pocket 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,,0.0,A man in a black coat is walking down the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,,0.0,A person in a black coat is walking in the street with a pair of black gloves on his shoulder 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,Persoon 6,0.1318222989559447,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,,0.0,A man in a black coat is walking down the street with a pair of black shoes on his head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,Persoon 6,0.101027585045913,A woman in a black coat is walking down the street with a black bag on her head 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,Persoon 7,0.1606167598678366,A woman in a black coat is walking down the street with her hands in her pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,,0.0,A man in a black coat is walking down the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,Persoon 7,0.2395182858981933,A person in a black coat is walking in the street with a pair of black gloves on his shoulder 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,Persoon 7,0.0978037737336822,A man in a black coat is walking down the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,Persoon 7,0.3116579125479536,A man in a black coat is walking down the street with his hands in his pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,,0.0,A man in a black coat is walking down the street with his hands in his pockets 
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,,0.0,A man in a black coat is walking in the hallway with his hands in his pockets 
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_0.JPG,,0.0,A man in a black coat is walking on the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_1.JPG,,0.0,A man in a black coat is walking down the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_2.JPG,Persoon 1,0.0001084423245932,A man in a black coat is walking down the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_3.JPG,Persoon 1,0.3928111838948433,A man in a black coat is walking down the street with his hands in his pockets 
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_4.JPG,,0.0,A man in a black coat is walking in the hallway with his hands in his pockets 
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_5.JPG,Persoon 1,0.1506442390212798,A man in a black coat is walking on the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_0.JPG,,0.0,A man in a black coat is walking down the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_1.JPG,,0.0,A man in a black coat is walking down the road with his hands in his pockets 
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m13s-rtsp___80_0_2.JPG,,0.0,A man in a black coat is walking down the street with his hands in his pockets 
